Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,11,Guanajuato,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,1,0,0,1,0,1,2,0,2.0,1.0,0.0,0.0
2015,11,Guanajuato,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,La vida y la Integridad corporal,Aborto,Aborto,Aborto,2,2,2,3,1,1,2,2,2.0,2.0,1.0,2.0
2015,11,Guanajuato,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,1,0,2,1,0,0,1,1.0,1.0,1.0,0.0
2015,11,Guanajuato,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,1,1,2,2,1,1,0,1,2.0,4.0,1.0,2.0
2015,11,Guanajuato,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,11,Guanajuato,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
