Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,31,Yucatán,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo a negocio,Sin violencia,21,17,19,24,18,11,19,22,15.0,32.0,16.0,22.0
2015,31,Yucatán,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo de ganado,Sin violencia,4,13,8,5,6,6,6,5,8.0,10.0,2.0,14.0
2015,31,Yucatán,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,11,0,0,0,4,0,0,0,0.0,2.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",42,0,0,0,4,0,0,59,2.0,6.0,1.0,7.0
2015,31,Yucatán,El patrimonio,Robo,Otros robos,Con violencia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Robo,Otros robos,Sin violencia,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,El patrimonio,Fraude,Fraude,Fraude,111,91,250,106,113,98,120,111,126.0,164.0,150.0,122.0
2015,31,Yucatán,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,91,99,82,72,98,107,93,79,97.0,107.0,115.0,91.0
2015,31,Yucatán,El patrimonio,Extorsión,Extorsión,Extorsión,4,2,9,12,4,3,7,4,5.0,6.0,8.0,4.0
2015,31,Yucatán,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,342,374,398,435,509,424,381,382,315.0,375.0,353.0,402.0
2015,31,Yucatán,El patrimonio,Despojo,Despojo,Despojo,24,11,29,23,33,9,37,34,25.0,35.0,40.0,35.0
2015,31,Yucatán,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,158,119,157,117,129,59,8,6,1.0,8.0,4.0,7.0
2015,31,Yucatán,La familia,Violencia familiar,Violencia familiar,Violencia familiar,201,58,230,188,206,201,222,175,164.0,175.0,167.0,171.0
2015,31,Yucatán,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,116,84,134,108,104,76,105,104,87.0,119.0,99.0,76.0
2015,31,Yucatán,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,51,41,56,38,52,15,38,16,37.0,39.0,8.0,34.0
2015,31,Yucatán,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,9,4,2,2,1,8,6,0,0.0,4.0,0.0,2.0
2015,31,Yucatán,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,99,70,48,44,68,11,0,0,1.0,1.0,1.0,0.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,1,0,0,19,24,23,22,22,27.0,4.0,23.0,14.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,395,364,525,455,514,472,473,412,343.0,515.0,504.0,578.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,66,34,61,71,75,70,69,62,56.0,49.0,80.0,81.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,0,6,2,5,3,7,5,3,8.0,4.0,9.0,0.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,10,10,11,16,8,7,6,10,5.0,10.0,10.0,9.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,0,0,0,2,1,1,0,1,0.0,0.0,1.0,0.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,1,0,2,0,2,2,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0,1,1,2,5,0,0,0.0,0.0,0.0,0.0
2015,31,Yucatán,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,315,543,392,407,523,632,608,526,580.0,704.0,637.0,702.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,9,13,16,10,6,14,18,9,16.0,15.0,18.0,15.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,1,2,3,5,3,3,1,3,1.0,4.0,1.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,12,3,1,2,2,3,4,4,2.0,5.0,5.0,3.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,10,6,7,6,9,9,13,13.0,13.0,15.0,11.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,2,3,5,4,8,9,5,3,6.0,4.0,16.0,14.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,3,12,5,10,13,10,7,10,9.0,13.0,15.0,6.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,108,25,23,36,98,124,35,19,38.0,27.0,25.0,21.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,66,84,78,20,17,87,78,76.0,101.0,69.0,72.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,27,20,30,32,29,20,23,27.0,31.0,25.0,19.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,23,2,1,1,0,0,1,0,2.0,1.0,2.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,7,7,6,0,3,7,10,6.0,5.0,5.0,7.0
2015,32,Zacatecas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,32,Zacatecas,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0
