Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,9,5,3,8,5,6,6,2,4.0,5.0,4.0,3.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,9,10,13,17,10,8,21,10,17.0,22.0,12.0,20.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,304,324,334,513,444,488,516,431,436.0,450.0,297.0,389.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,74,55,50,48,46,73,39,27,34.0,53.0,42.0,27.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,0,0,0,0,0,0,26,11,9.0,28.0,15.0,20.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,1,1,1,1,0,2,0,1,1.0,3.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,5,Coahuila de Zaragoza,La vida y la Integridad corporal,Aborto,Aborto,Aborto,1,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0
